doc_id,path,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,top_topic,top_score
MM__MM_01_12_2017_0.txt,MM/MM_01_12_2017_0.txt,0.3360292566251246,0.00016588023644099756,0.00016588878176784783,0.0001658828657002626,0.00016587029212758515,0.31299445476544524,0.0001658692502223389,0.3498151432863513,0.0001658844538809998,0.00016586944293882203,topic_7,0.3498151432863513
MM__MM_01_13_2016_0.txt,MM/MM_01_13_2016_0.txt,0.2476183549022017,0.000269608907470534,0.12325355548240079,0.05026141273238381,0.00026961326075551894,0.5772490145317394,0.0002696187356507081,0.0002696123070200076,0.0002696056135378614,0.00026960352683959787,topic_5,0.5772490145317394
MM__MM_01_14_2019_0.txt,MM/MM_01_14_2019_0.txt,0.2263302588229724,0.010890787456055987,0.0001141850207138707,0.000114190638903518,0.03268731132852233,0.46043312500338224,0.0001141794728267112,0.2623881107563466,0.006813666133718098,0.00011418536655811153,topic_5,0.46043312500338224
MM__MM_01_14_2019_1.txt,MM/MM_01_14_2019_1.txt,0.00017926490316230785,0.000179251311094723,0.00017925939679814114,0.06827690213673533,0.0001792654592266378,0.6262023206295009,0.00017924966455505267,0.24225810999779696,0.00017924738686719477,0.06218712911426275,topic_5,0.6262023206295009
MM__MM_01_15_2018_0.txt,MM/MM_01_15_2018_0.txt,0.7555417503734256,0.00018626987461809667,0.00018627632599914424,0.00018627013657512707,0.0001862723356095495,0.13335618934957263,0.00018625838528603983,0.00018627562105171137,0.00018628418581184567,0.10979815341205028,topic_0,0.7555417503734256
MM__MM_01_15_2019_0.txt,MM/MM_01_15_2019_0.txt,0.0009093067196897772,0.0009093413016225895,0.36496327209987073,0.0009092523721572633,0.08084623816940273,0.0009093568537112182,0.3929861030501726,0.0009092729355092388,0.02804023081282089,0.12861762568504298,topic_6,0.3929861030501726
MM__MM_01_15_2019_1.txt,MM/MM_01_15_2019_1.txt,0.14885564025357667,9.330436187468354e-05,9.330892563455637e-05,9.331264870338687e-05,9.331065361489288e-05,0.2096021331563226,9.330377333060089e-05,0.6116251010601296,0.02935727653601759,9.330863079563522e-05,topic_7,0.6116251010601296
MM__MM_01_16_2019_0.txt,MM/MM_01_16_2019_0.txt,0.0004832502870202842,0.00048319638856010453,0.20538562636719812,0.03585801004698537,0.17507526995091155,0.0004832074764987857,0.00048321001255958226,0.00048321448537514365,0.0004831576015800161,0.580781857383311,topic_9,0.580781857383311
MM__MM_01_17_2017_0.txt,MM/MM_01_17_2017_0.txt,0.08482799142876563,4.754343416064939e-05,0.2216604386201504,0.28412270870197115,0.05840406822827285,0.05205988141349421,4.754019665247049e-05,0.17728763888313312,4.7543894724441483e-05,0.12149464519867503,topic_3,0.28412270870197115
MM__MM_01_17_2019_0.txt,MM/MM_01_17_2019_0.txt,0.00016533983046990996,0.00016533931237777954,0.00016534001510999782,0.11816737197851769,0.017751187588766534,0.47754181533599827,0.0001653252535544281,0.001823401902126733,0.03979169283405522,0.34426318594902344,topic_5,0.47754181533599827
MM__MM_01_19_2017_0.txt,MM/MM_01_19_2017_0.txt,0.0002348043107443362,0.0556215114446668,0.13713610160621656,0.20740122830121335,0.27841717691841256,0.2867536599450742,0.00023479106235336478,0.0002348019685509108,0.0002348045134870869,0.03373111992928068,topic_5,0.2867536599450742
MM__MM_01_23_2018_0.txt,MM/MM_01_23_2018_0.txt,0.00015604239015425868,0.00015603088651132145,0.0001560533796101074,0.0001560390512328364,0.00015603695470010198,0.00015604818793412727,0.00015603366424151458,0.00015604160338915526,0.016040758267706668,0.98271091561452,topic_9,0.98271091561452
MM__MM_01_24_2017_0.txt,MM/MM_01_24_2017_0.txt,0.07786635199865989,0.0002174588891449201,0.010045740466576287,0.00021745760892167274,0.00021745198605025869,0.13805393887041342,0.00021743510375197962,0.4921566927408172,0.19365277701574451,0.08735469531991971,topic_7,0.4921566927408172
MM__MM_01_24_2017_1.txt,MM/MM_01_24_2017_1.txt,0.3086293482218805,0.00021191513591959046,0.148749080236815,0.0002119250602797337,0.3017805100314965,0.034713701216371434,0.00021191480766331554,0.00021191607213086384,0.028086136266522194,0.17719355295092096,topic_0,0.3086293482218805
MM__MM_01_25_2018_0.txt,MM/MM_01_25_2018_0.txt,7.420135384199945e-05,7.420193778490124e-05,7.420322900023198e-05,7.420596621475827e-05,7.420242196686781e-05,7.420520190406307e-05,7.419795477822941e-05,0.3234517782469977,0.045204765570237414,0.6308240381172738,topic_9,0.6308240381172738
